CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,TotalPop,AvgIncome
1001,1,4,26745,28476,12.9,18.6,87.5,73.6,5.5,7.6,26.5,20.9,55221,51281
1003,1,4,95314,99807,,19.2,84.7,81.5,5.8,,26.4,12.3,195121,50254
1005,1,4,14497,12435,26.7,45.3,83.8,71.8,7.3,17.6,24.1,20.8,26932,32964
1007,1,4,12073,10531,16.8,27.9,83.2,76.8,6.7,8.3,28.8,16.1,22604,38678
1009,1,4,28512,29198,16.7,27.2,84.9,82,4.2,7.7,34.9,13.5,57710,45813
1011,1,4,5660,5018,24.6,38.4,74.9,79.5,5.4,18,27.5,15.1,10678,31938
1013,1,4,9502,10852,25.4,39.2,84.5,77.4,6.2,10.9,24.6,16.2,20354,32229
1015,1,4,56274,60374,20.5,31.6,85.3,74.1,5,12.3,24.1,20.8,116648,41703
1017,1,4,16258,19375,21.6,37.2,85.1,85.1,2.8,8.9,25.1,12.1,34079,34177
1019,1,4,12975,13033,19.2,30.1,83.9,73.1,7.9,,27.4,18.5,26008,36296
1021,1,4,21619,22200,,30.6,81.2,80.3,4.1,9.1,32,15.2,43819,41627
1023,1,4,6382,7013,23.4,34.4,85.5,77.5,5.4,13.6,30.7,16.8,13395,33536
1025,1,4,11834,13236,24.7,29.8,82,83.1,3.3,19.4,23,13.6,25070,32011
1027,1,4,6671,6866,16.7,22.5,84.3,77.5,7.8,9.4,30.3,14.7,13537,35327
1029,1,4,7334,7668,17,26.3,77.6,76.3,8.4,8.3,33.3,15.3,15002,38056
1031,1,4,25174,25710,17.1,26.4,85.3,70.3,5.7,,20.9,23.5,50884,46729
1033,1,4,26303,28141,17.4,26.1,90.7,78.6,5.2,9,22.8,16.1,54444,40576
1035,1,4,6176,6689,33.8,41.5,93.6,77.8,8.3,22.6,29.7,13,12865,24900
1037,1,4,5579,5448,19.3,27.5,85.4,76.6,5.9,17,28.6,17.5,11027,31212
