CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
19093,19,3,3561,3510,11.7,14.8,77.8,79.7,9.3,3.7,15.7,10.9,46,46993
19095,19,3,8097,8247,8.7,14.5,75.8,72.7,9.7,1.8,22.1,17.4,59,59375
19097,19,3,9733,9839,12.1,15.3,82,79.3,10.4,4.4,23.1,10.1,49,49028
19099,19,3,18711,18015,9.6,11.1,80.2,80.2,6.7,5.4,22.4,13,55,55033
19101,19,3,8981,8337,15,20.6,74,79.6,10.5,6.4,14.6,9.3,42,42899
19103,19,3,69350,70086,17.9,13.6,66.9,67,4.8,3.5,18.3,28,55,55700
19105,19,3,10674,9886,10.2,14.5,82,77.6,9.5,5,24.9,12.7,55,55060
19107,19,3,5179,5112,13.5,18.9,76.3,70,13.2,5.1,23.3,16.3,43,43838
19109,19,3,7629,7651,9,14.5,82.8,74.6,13,2.1,15,12.2,51,51496
19111,19,3,17767,17602,16.8,24.3,86.2,81.1,5.8,8.7,17.9,12.7,43,43312
19113,19,3,106827,109813,9.8,10.9,83.7,85.5,4.5,4.8,18.7,9.9,59,59322
19115,19,3,5751,5520,12.2,19.4,80,81.9,6.9,4.8,22.5,11.2,51,51144
19117,19,3,4376,4355,13.1,16.2,82.1,74.2,11.1,5.8,22.4,14.7,43,43962
19119,19,3,5951,5772,7.3,9.3,79.8,76.8,10.5,2.4,17,12.1,57,57130
19121,19,3,7796,7848,7.6,5.2,81.6,80.1,6.9,5.7,27.1,12.9,60,60060
19123,19,3,11202,11194,14.7,17.4,77.8,81.6,7.2,8,18.7,10.5,48,48726
19125,19,3,16527,16721,9.9,12.1,79.2,82.7,5.9,4,20.2,11.3,54,54693
19127,19,3,20730,20232,11.1,16.9,74.6,80.5,5.1,6.3,17.9,14.1,53,53351
19129,19,3,7507,7355,8.9,9,81.4,71.8,7.1,3.8,24.3,21.1,63,63979
19131,19,3,5339,5423,9.6,12.6,76.9,75,11.7,3.2,17.2,12.5,49,49488
19133,19,3,4518,4570,13.9,22.7,81,73.3,11.9,5.5,22.5,14.4,40,40302
19135,19,3,4140,3862,12.1,12.3,84,74.6,8.2,6.2,24.1,17.2,46,46304
19137,19,3,5035,5430,16.8,27.3,80.7,77.1,10.2,9.6,18.9,11.8,42,42418
19139,19,3,21412,21501,12.4,19,83,81.4,5.4,4.6,17.5,13.1,53,53676
19141,19,3,7048,7044,7.3,9.1,74.3,77.7,10.2,2.8,15.3,12,55,55227
19143,19,3,3118,3093,8.5,10.9,74.4,76.8,11.7,3.3,17.7,11.2,49,49448
19145,19,3,8072,7588,15.3,20.4,81.7,75.9,8.4,5.1,15,15.4,43,43912
19147,19,3,4618,4590,10.7,16.8,83.2,73.1,9,2.9,16.8,17.7,47,47113
19149,19,3,12269,12584,7.8,10.3,81.6,77.4,9.7,3.4,18,12.5,57,57130
19151,19,3,3548,3579,14.2,19.3,74.4,70.5,15.5,4.9,16.9,13.9,45,45069
19153,19,3,222477,229892,12.9,18,83.8,83.2,4.4,5.8,19.1,12.3,60,60061
19155,19,3,45947,47266,13,19,84.1,82.6,5,5,20.6,12.2,51,51976
19157,19,3,8987,9718,10.4,9.1,69,83.7,7.2,4.8,16.4,9,51,51006
19159,19,3,2474,2587,10.6,9.5,76.4,66.4,16.6,4.8,18,16.5,47,47042
19161,19,3,4967,5134,8.2,7.9,83.6,76.6,9.9,4,17.9,13.3,49,49572
19163,19,3,83437,86557,12.1,17.2,85.8,82.6,4.8,5.4,18.7,12.5,55,55114
19165,19,3,5886,6106,11.2,13.2,78.5,73.7,12.5,2.9,18.3,13.4,50,50952
19167,19,3,17404,17105,8.3,11.2,73.6,82.1,8.3,1.8,12.6,9.3,61,61627
