CountyId,StateId,RegionId,Male,Female,TotalPop,Poverty,CarOwnership,Unemploy,AvgCommute,AvgIncome,Obesity
13089,13,4,341362,374969,716331,19.3,72.2,11.3,31.4,51376,30.1
13091,13,4,11215,9965,,22.5,84.3,9.8,24.3,34271,33.2
13093,13,4,7717,6576,14293,29.2,81.5,11.7,21,28696,39.7
13095,13,4,43432,49878,93310,30.7,76.9,18,18.1,32084,44.4
13097,13,4,65637,70883,136520,16.4,79.6,10.5,31.4,53881,22
13099,13,4,4899,5680,10579,28,88.3,9.4,24.2,31680,37.7
13101,13,4,1893,2155,4048,29,73.6,10.1,25.2,32959,40.2
13103,13,4,27196,27434,54630,10.6,86.1,6,30.7,63100,14.4
13105,13,4,9262,10275,19537,19,87.2,10.8,21.7,35388,27.5
13107,13,4,11130,11601,22731,30.6,79.7,13.2,26.5,32229,43.9
13109,13,4,5024,5790,10814,27.7,73.1,10.3,21.6,37865,42.3
13111,13,4,11531,12211,23742,23.1,76.8,12,25.9,37049,35.3
13113,13,4,52720,55935,108655,8.5,81.7,7.6,30.8,79066,12.1
13115,13,4,46567,49602,,21.3,82.2,10.9,21.6,41549,29.4
13117,13,4,97505,98731,196236,6.9,80,6.2,30.9,88816,7.4
13119,13,4,10827,11283,22110,23.9,82.8,8.4,26.6,33816,30.4
13121,13,4,478161,505742,983903,17.6,72.8,9.9,27.4,57207,25.2
13123,13,4,14560,14113,28673,23.5,78.9,10,28,40228,45.5
13125,13,4,1495,1592,3087,16.2,85,7.1,29.1,40759,29.6
13127,13,4,38647,43096,81743,18.7,83,9.3,18.9,45918,28.2
13129,13,4,27738,28151,55889,20.4,79.1,8.3,21.9,41612,30
13131,13,4,12504,12739,25243,30.7,83.7,10.5,23.8,34187,48.8
13133,13,4,7972,8359,16331,24.9,81.2,6.8,26.1,42408,44.7
13135,13,4,421395,437839,859234,13.8,79.8,8.3,32.1,60289,19.8
13137,13,4,20573,22954,43527,17.8,84,7.7,24.8,40907,26.2
13139,13,4,93746,94170,187916,18.4,79.5,7.5,26,51202,27.6
13141,13,4,4878,4003,,30.3,84.2,14.6,27.7,24925,48.5
13143,13,4,13951,14614,28565,20.3,87.7,12.3,31.8,41910,27.7
13145,13,4,16304,16472,32776,9.3,89,8,26.4,63824,12
13147,13,4,12615,12883,25498,21.9,85.2,6.2,22.4,37653,28.4
13149,13,4,5753,5864,11617,20.5,86.8,12.1,37.5,41525,29
13151,13,4,101340,110172,211512,12.9,81.6,10.3,33.2,60424,19.7
13153,13,4,71562,76008,147570,17.2,85.4,9.7,21.1,53270,25.8
13155,13,4,4798,4610,9408,26,80.3,6.8,21.3,34156,35.7
13157,13,4,30418,31002,61420,13.7,85,7.9,30.7,53379,15.6
13159,13,4,6658,6935,13593,20.7,80.3,12.7,35.4,42368,29.5
13161,13,4,7411,7579,14990,22.3,81.3,6.6,20.8,36385,33.1
13163,13,4,7916,8458,16374,30.8,78.3,17,24.5,26557,49.9
13165,13,4,4444,4478,8922,33.8,70.7,10.3,21.6,24604,57.6
13167,13,4,5437,4357,9794,23.1,72.5,9,25.8,34438,32.9
13169,13,4,14006,14732,28738,16.8,86.9,9.5,27.3,51857,23.6
13171,13,4,8653,9461,18114,22.1,78.7,15.6,31,40344,29.2
13173,13,4,5237,5166,10403,26.6,89.9,14.6,25.4,37605,32.9
13175,13,4,22810,25076,47886,27.5,85.5,6.6,23.2,32356,38.9
13177,13,4,14499,14447,28946,12.3,87.7,7.2,21.3,61537,16.8
13179,13,4,32654,31773,64427,17.7,83.5,12.9,20.6,42201,22.9
13181,13,4,3705,4015,7720,25,82.2,9.3,30.9,34243,40.2
13183,13,4,8097,8491,16588,17.9,79.5,15.6,27.4,48863,23
13185,13,4,55627,57576,113203,26.5,83.6,13,19,36834,33.3
13187,13,4,15176,15745,30921,18.8,81.9,8.2,28.6,43804,21.1
13189,13,4,10274,11308,21582,25.4,83.4,9.5,25.7,36656,41.2
13191,13,4,6828,7179,,21.3,81.7,8.8,25.7,42988,35.9
13193,13,4,7720,6325,14045,29.6,73.1,18.7,24.9,28684,33.6
